Epoch,Train_Acc,Train_Loss,Val_Acc,Val_Loss,Time_Seconds
1,0.9546,0.5168,0.9704,0.4654,4654
2,0.9644,0.4999,0.9743,0.4592,3625
3,0.9668,0.4964,0.9736,0.4605,2314
4,0.9679,0.4940,0.9743,0.4605,2445
5,0.9692,0.4926,0.9753,0.4525,2364
6,0.9690,0.4924,0.9729,0.4559,3486
7,0.9695,0.4920,0.9757,0.4620,4071
8,0.9700,0.4914,0.9761,0.4519,3429
9,0.9699,0.4912,0.9766,0.4544,2457
10,0.9699,0.4913,0.9746,0.4625,2491
11,0.9705,0.4904,0.9763,0.4569,1971
12,0.9703,0.4905,0.9761,0.4528,1999
13,0.9763,0.4741,0.9798,0.4431,1981
14,0.9769,0.4707,0.9799,0.4421,1970
15,0.9775,0.4692,0.9814,0.4397,1968
16,0.9774,0.4678,0.9831,0.4402,1968
17,0.9780,0.4667,0.9818,0.4442,1968
18,0.9778,0.4661,0.9829,0.4376,1970
19,0.9780,0.4659,0.9828,0.4389,1968
20,0.9787,0.4651,0.9816,0.4427,1968
21,0.9779,0.4649,0.9832,0.4372,1963
22,0.9784,0.4646,0.9807,0.4440,1967
23,0.9786,0.4639,0.9811,0.4403,1969
24,0.9785,0.4630,0.9817,0.4434,1977
25,0.9791,0.4633,0.9847,0.4375,1986
26,0.9832,0.4518,0.9878,0.4284,1999
27,0.9841,0.4495,0.9871,0.4301,2004
28,0.9850,0.4470,0.9867,0.4273,2005
29,0.9851,0.4463,0.9887,0.4264,2016
30,0.9853,0.4453,0.9865,0.4279,2023
